CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	248	2122	10.46	2370
2	0	21	0.00	21
3	2	18	10.00	20
4	13	185	6.57	198
5	18	206	8.04	224
6	10	247	3.89	257
7	14	253	5.24	267
8	17	296	5.43	313
9	8	242	3.20	250
10	15	243	5.81	258
11	11	229	4.58	240
12	17	280	5.72	297
13	20	292	6.41	312
14	16	250	6.02	266
15	5	227	2.16	232
16	11	291	3.64	302
17	10	245	3.92	255
18	4	241	1.63	245
19	27	297	8.33	324
20	8	206	3.74	214
21	14	223	5.91	237
22	13	283	4.39	296
23	20	263	7.07	283
24	18	237	7.06	255
25	14	278	4.79	292
26	13	312	4.00	325
27	10	244	3.94	254
28	31	243	11.31	274
29	14	271	4.91	285
30	10	260	3.70	270
31	15	293	4.87	308
32	11	283	3.74	294
33	13	252	4.91	265
34	12	245	4.67	257
35	18	257	6.55	275
36	17	198	7.91	215
37	9	264	3.30	273
38	14	255	5.20	269
39	11	234	4.49	245
40	9	233	3.72	242
41	13	244	5.06	257
42	9	264	3.30	273
43	14	264	5.04	278
44	17	235	6.75	252
45	6	248	2.36	254
46	15	239	5.91	254
47	16	265	5.69	281
48	12	237	4.82	249
49	20	249	7.43	269
50	11	257	4.10	268
51	21	222	8.64	243
52	12	237	4.82	249
53	9	237	3.66	246
54	11	251	4.20	262
55	12	280	4.11	292
56	11	223	4.70	234
57	7	243	2.80	250
58	12	240	4.76	252
59	6	274	2.14	280
60	15	242	5.84	257
61	16	232	6.45	248
62	13	234	5.26	247
63	13	214	5.73	227
64	10	237	4.05	247
65	19	278	6.40	297
66	9	243	3.57	252
67	10	237	4.05	247
68	11	207	5.05	218
69	12	178	6.32	190
70	10	235	4.08	245
71	17	225	7.02	242
72	12	215	5.29	227
73	14	225	5.86	239
74	10	188	5.05	198
75	12	191	5.91	203
76	11	189	5.50	200
77	13	228	5.39	241
78	6	174	3.33	180
79	11	220	4.76	231
80	6	174	3.33	180
81	8	174	4.40	182
82	13	200	6.10	213
83	7	140	4.76	147
84	6	164	3.53	170
85	5	187	2.60	192
86	11	160	6.43	171
87	8	165	4.62	173
88	6	133	4.32	139
89	9	145	5.84	154
90	4	116	3.33	120
91	8	148	5.13	156
92	3	143	2.05	146
93	5	145	3.33	150
94	6	123	4.65	129
95	9	91	9.00	100
96	4	117	3.31	121
97	7	119	5.56	126
98	2	108	1.82	110
99	2	41	4.65	43
100	2	7	22.22	9
101	0	2	0.00	2
102	0	6	0.00	6
103	0	6	0.00	6
104	1	5	16.67	6
105	0	7	0.00	7
106	0	7	0.00	7
107	0	3	0.00	3
108	1	4	20.00	5
109	0	6	0.00	6
110	0	3	0.00	3
111	0	3	0.00	3
112	0	5	0.00	5
113	0	1	0.00	1
114	1	4	20.00	5
115	1	1	50.00	2
116	0	2	0.00	2
117	1	4	20.00	5
118	0	2	0.00	2
119	0	0		0
120	0	5	0.00	5
121	0	4	0.00	4
122	0	3	0.00	3
123	0	1	0.00	1
124	0	6	0.00	6
125	0	2	0.00	2
126	0	1	0.00	1
127	0	1	0.00	1
128	0	4	0.00	4
129	0	6	0.00	6
130	0	1	0.00	1
131	0	2	0.00	2
132	1	2	33.33	3
133	0	1	0.00	1
134	0	3	0.00	3
135	0	0		0
136	0	1	0.00	1
137	0	2	0.00	2
138	0	2	0.00	2
139	0	4	0.00	4
140	0	1	0.00	1
141	0	1	0.00	1
142	1	0	100.00	1
143	0	0		0
144	0	1	0.00	1
145	1	1	50.00	2
146	0	0		0
147	0	0		0
148	0	1	0.00	1
149	0	0		0

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	17	0.00	17
2	0	27	0.00	27
3	0	8	0.00	8
4	0	133	0.00	133
5	0	209	0.00	209
6	1	232	0.43	233
7	1	258	0.39	259
8	0	207	0.00	207
9	1	238	0.42	239
10	1	207	0.48	208
11	1	211	0.47	212
12	1	210	0.47	211
13	0	192	0.00	192
14	0	191	0.00	191
15	3	208	1.42	211
16	2	229	0.87	231
17	0	222	0.00	222
18	0	249	0.00	249
19	4	198	1.98	202
20	0	172	0.00	172
21	0	233	0.00	233
22	0	242	0.00	242
23	1	213	0.47	214
24	0	182	0.00	182
25	0	257	0.00	257
26	0	189	0.00	189
27	0	207	0.00	207
28	0	256	0.00	256
29	2	156	1.27	158
30	0	184	0.00	184
31	1	249	0.40	250
32	1	202	0.49	203
33	0	214	0.00	214
34	2	224	0.88	226
35	0	217	0.00	217
36	0	196	0.00	196
37	0	217	0.00	217
38	2	194	1.02	196
39	1	196	0.51	197
40	0	226	0.00	226
41	0	266	0.00	266
42	1	229	0.43	230
43	0	193	0.00	193
44	1	229	0.43	230
45	2	210	0.94	212
46	3	199	1.49	202
47	0	186	0.00	186
48	2	222	0.89	224
49	3	214	1.38	217
50	1	188	0.53	189
51	0	226	0.00	226
52	1	222	0.45	223
53	1	218	0.46	219
54	3	192	1.54	195
55	0	155	0.00	155
56	0	207	0.00	207
57	2	220	0.90	222
58	0	195	0.00	195
59	0	197	0.00	197
60	1	151	0.66	152
61	0	176	0.00	176
62	1	158	0.63	159
63	0	189	0.00	189
64	2	215	0.92	217
65	0	203	0.00	203
66	1	163	0.61	164
67	1	182	0.55	183
68	0	170	0.00	170
69	0	188	0.00	188
70	0	166	0.00	166
71	1	195	0.51	196
72	0	172	0.00	172
73	0	151	0.00	151
74	0	161	0.00	161
