CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	198	2191	8.29	2389
2	0	13	0.00	13
3	1	10	9.09	11
4	12	183	6.15	195
5	12	200	5.66	212
6	10	259	3.72	269
7	11	229	4.58	240
8	19	291	6.13	310
9	10	230	4.17	240
10	12	264	4.35	276
11	10	230	4.17	240
12	10	265	3.64	275
13	13	273	4.55	286
14	7	266	2.56	273
15	12	221	5.15	233
16	16	297	5.11	313
17	13	214	5.73	227
18	9	277	3.15	286
19	13	290	4.29	303
20	9	221	3.91	230
21	12	226	5.04	238
22	10	284	3.40	294
23	12	244	4.69	256
24	18	227	7.35	245
25	12	266	4.32	278
26	12	291	3.96	303
27	7	284	2.41	291
28	18	257	6.55	275
29	13	267	4.64	280
30	15	256	5.54	271
31	18	266	6.34	284
32	13	324	3.86	337
33	8	214	3.60	222
34	17	245	6.49	262
35	19	275	6.46	294
36	16	215	6.93	231
37	11	262	4.03	273
38	17	235	6.75	252
39	15	265	5.36	280
40	9	261	3.33	270
41	16	246	6.11	262
42	8	280	2.78	288
43	9	238	3.64	247
44	12	236	4.84	248
45	16	255	5.90	271
46	16	215	6.93	231
47	18	283	5.98	301
48	14	242	5.47	256
49	10	229	4.18	239
50	12	275	4.18	287
51	13	197	6.19	210
52	17	240	6.61	257
53	13	229	5.37	242
54	15	264	5.38	279
55	12	267	4.30	279
56	14	236	5.60	250
57	19	228	7.69	247
58	9	227	3.81	236
59	10	264	3.65	274
60	12	235	4.86	247
61	15	266	5.34	281
62	18	228	7.32	246
63	10	206	4.63	216
64	11	237	4.44	248
65	17	238	6.67	255
66	13	243	5.08	256
67	15	238	5.93	253
68	17	173	8.95	190
69	8	205	3.76	213
70	16	239	6.27	255
71	20	251	7.38	271
72	13	240	5.14	253
73	7	220	3.08	227
74	14	209	6.28	223
75	13	154	7.78	167
76	12	198	5.71	210
77	9	223	3.88	232
78	6	194	3.00	200
79	9	206	4.19	215
80	10	186	5.10	196
81	11	178	5.82	189
82	7	179	3.76	186
83	15	142	9.55	157
84	6	145	3.97	151
85	7	197	3.43	204
86	11	160	6.43	171
87	13	176	6.88	189
88	4	100	3.85	104
89	13	153	7.83	166
90	1	113	0.88	114
91	7	130	5.11	137
92	7	130	5.11	137
93	10	127	7.30	137
94	7	110	5.98	117
95	7	99	6.60	106
96	4	102	3.77	106
97	11	123	8.21	134
98	3	100	2.91	103
99	4	33	10.81	37
100	1	7	12.50	8
101	0	1	0.00	1
102	0	3	0.00	3
103	0	5	0.00	5
104	0	5	0.00	5
