CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	226	2153	9.50	2379
2	0	12	0.00	12
3	0	17	0.00	17
4	10	190	5.00	200
5	13	205	5.96	218
6	19	281	6.33	300
7	8	211	3.65	219
8	22	273	7.46	295
9	12	256	4.48	268
10	17	251	6.34	268
11	11	234	4.49	245
12	21	292	6.71	313
13	11	271	3.90	282
14	9	261	3.33	270
15	13	248	4.98	261
16	16	276	5.48	292
17	12	213	5.33	225
18	8	238	3.25	246
19	22	313	6.57	335
20	13	187	6.50	200
21	14	260	5.11	274
22	12	276	4.17	288
23	16	270	5.59	286
24	22	242	8.33	264
25	21	278	7.02	299
26	15	304	4.70	319
27	16	276	5.48	292
28	27	249	9.78	276
29	13	270	4.59	283
30	12	248	4.62	260
31	20	269	6.92	289
32	14	263	5.05	277
33	12	200	5.66	212
34	16	246	6.11	262
35	20	247	7.49	267
36	13	231	5.33	244
37	11	280	3.78	291
38	9	234	3.70	243
39	14	253	5.24	267
40	8	274	2.84	282
41	11	256	4.12	267
42	11	270	3.91	281
43	12	229	4.98	241
44	14	258	5.15	272
45	13	269	4.61	282
46	14	223	5.91	237
47	23	281	7.57	304
48	15	283	5.03	298
49	17	223	7.08	240
50	16	263	5.73	279
51	10	227	4.22	237
52	17	230	6.88	247
53	13	249	4.96	262
54	12	255	4.49	267
55	25	270	8.47	295
56	10	224	4.27	234
57	9	229	3.78	238
58	11	232	4.53	243
59	8	261	2.97	269
60	13	232	5.31	245
61	10	242	3.97	252
62	11	243	4.33	254
63	7	186	3.63	193
64	20	264	7.04	284
65	11	257	4.10	268
66	11	248	4.25	259
67	20	212	8.62	232
68	16	213	6.99	229
69	13	206	5.94	219
70	17	217	7.26	234
71	13	249	4.96	262
72	8	249	3.11	257
73	15	220	6.38	235
74	13	199	6.13	212
75	9	178	4.81	187
76	11	204	5.12	215
77	10	219	4.37	229
78	15	184	7.54	199
79	10	197	4.83	207
80	13	186	6.53	199
81	4	150	2.60	154
82	12	193	5.85	205
83	7	138	4.83	145
84	9	167	5.11	176
85	6	190	3.06	196
86	15	169	8.15	184
87	5	155	3.12	160
88	6	110	5.17	116
89	8	163	4.68	171
90	1	105	0.94	106
91	6	129	4.44	135
92	7	140	4.76	147
93	7	145	4.61	152
94	8	123	6.11	131
95	10	117	7.87	127
96	8	107	6.96	115
97	9	114	7.32	123
98	4	116	3.33	120
99	3	51	5.56	54
100	1	17	5.56	18
101	0	12	0.00	12
102	1	9	10.00	10
103	1	14	6.67	15
104	1	4	20.00	5
105	1	5	16.67	6
106	1	7	12.50	8
107	1	7	12.50	8
108	0	5	0.00	5
109	1	13	7.14	14
110	1	4	20.00	5
111	0	7	0.00	7
112	0	4	0.00	4
113	0	5	0.00	5
114	0	3	0.00	3
115	0	7	0.00	7
116	0	3	0.00	3
117	0	6	0.00	6
118	0	1	0.00	1
119	1	4	20.00	5
120	1	8	11.11	9
121	1	0	100.00	1
122	1	2	33.33	3
123	2	5	28.57	7
124	0	4	0.00	4
125	0	6	0.00	6
126	1	4	20.00	5
127	0	2	0.00	2
128	1	2	33.33	3
129	0	1	0.00	1
130	0	4	0.00	4
