CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	199	2174	8.39	2373
2	0	16	0.00	16
3	6	21	22.22	27
4	10	186	5.10	196
5	14	207	6.33	221
6	12	253	4.53	265
7	12	204	5.56	216
8	15	276	5.15	291
9	7	229	2.97	236
10	11	251	4.20	262
11	13	246	5.02	259
12	13	283	4.39	296
13	11	305	3.48	316
14	13	231	5.33	244
15	11	245	4.30	256
16	11	300	3.54	311
17	10	247	3.89	257
18	6	244	2.40	250
19	18	312	5.45	330
20	14	217	6.06	231
21	16	209	7.11	225
22	11	268	3.94	279
23	13	277	4.48	290
24	17	234	6.77	251
25	14	283	4.71	297
26	16	267	5.65	283
27	16	258	5.84	274
28	30	272	9.93	302
29	13	292	4.26	305
30	16	255	5.90	271
31	11	314	3.38	325
32	14	270	4.93	284
33	14	235	5.62	249
34	12	270	4.26	282
35	21	246	7.87	267
36	13	183	6.63	196
37	22	271	7.51	293
38	11	228	4.60	239
39	11	243	4.33	254
40	17	236	6.72	253
41	15	263	5.40	278
42	18	279	6.06	297
43	16	256	5.88	272
44	13	213	5.75	226
45	19	275	6.46	294
46	22	230	8.73	252
47	16	268	5.63	284
48	16	259	5.82	275
49	22	219	9.13	241
50	12	250	4.58	262
51	16	235	6.37	251
52	13	248	4.98	261
53	11	253	4.17	264
54	16	220	6.78	236
55	23	268	7.90	291
56	16	221	6.75	237
57	10	237	4.05	247
58	8	252	3.08	260
59	16	245	6.13	261
60	7	244	2.79	251
61	12	225	5.06	237
62	17	236	6.72	253
63	12	218	5.22	230
64	13	273	4.55	286
65	12	272	4.23	284
66	21	236	8.17	257
67	12	230	4.96	242
68	18	186	8.82	204
69	9	179	4.79	188
70	20	233	7.91	253
71	15	221	6.36	236
72	8	242	3.20	250
73	9	244	3.56	253
74	4	201	1.95	205
75	12	204	5.56	216
76	13	182	6.67	195
77	11	221	4.74	232
78	5	197	2.48	202
79	11	213	4.91	224
80	11	184	5.64	195
81	9	173	4.95	182
82	8	206	3.74	214
83	6	154	3.75	160
84	7	153	4.38	160
85	7	182	3.70	189
86	6	169	3.43	175
87	11	173	5.98	184
88	7	128	5.19	135
89	7	141	4.73	148
90	7	115	5.74	122
91	5	159	3.05	164
92	7	141	4.73	148
93	13	137	8.67	150
94	8	148	5.13	156
95	6	110	5.17	116
96	6	115	4.96	121
97	5	145	3.33	150
98	8	93	7.92	101
99	1	60	1.64	61
100	2	5	28.57	7
101	0	6	0.00	6
102	0	3	0.00	3
103	1	9	10.00	10
104	0	12	0.00	12
105	1	3	25.00	4
106	0	5	0.00	5
107	0	4	0.00	4
108	2	5	28.57	7
109	1	8	11.11	9
110	0	4	0.00	4
111	2	2	50.00	4
112	1	5	16.67	6
113	0	3	0.00	3
114	1	3	25.00	4
115	1	5	16.67	6
116	0	2	0.00	2
117	0	3	0.00	3
118	0	1	0.00	1
119	0	2	0.00	2
120	0	0		0
121	0	1	0.00	1
122	0	3	0.00	3
123	0	1	0.00	1
124	0	3	0.00	3
125	0	2	0.00	2
126	0	2	0.00	2
127	1	2	33.33	3
128	1	2	33.33	3
129	1	7	12.50	8
130	0	1	0.00	1
131	0	2	0.00	2
132	0	0		0
133	0	0		0
134	0	0		0
135	0	0		0
136	0	0		0
137	0	0		0
138	0	1	0.00	1
139	0	2	0.00	2
140	0	0		0
141	0	1	0.00	1
142	0	1	0.00	1
143	1	1	50.00	2
144	1	1	50.00	2
145	0	2	0.00	2
146	0	0		0
147	0	0		0
148	1	0	100.00	1

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	20	0.00	20
2	1	29	3.33	30
3	0	8	0.00	8
4	0	124	0.00	124
5	1	200	0.50	201
6	1	225	0.44	226
7	1	256	0.39	257
8	2	201	0.99	203
9	2	247	0.80	249
10	1	195	0.51	196
11	0	285	0.00	285
12	1	197	0.51	198
