CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	209	2171	8.78	2380
2	1	12	7.69	13
3	1	19	5.00	20
4	10	163	5.78	173
5	17	211	7.46	228
6	9	244	3.56	253
7	16	246	6.11	262
8	13	291	4.28	304
9	15	245	5.77	260
10	13	234	5.26	247
11	7	240	2.83	247
12	21	284	6.89	305
13	11	272	3.89	283
14	14	253	5.24	267
15	5	232	2.11	237
16	13	289	4.30	302
17	18	214	7.76	232
18	12	252	4.55	264
19	12	285	4.04	297
20	6	230	2.54	236
21	14	223	5.91	237
22	10	259	3.72	269
23	9	241	3.60	250
24	20	222	8.26	242
25	15	278	5.12	293
26	17	289	5.56	306
27	14	289	4.62	303
28	23	260	8.13	283
29	12	263	4.36	275
30	17	286	5.61	303
31	11	296	3.58	307
32	18	282	6.00	300
33	4	248	1.59	252
34	12	259	4.43	271
35	10	254	3.79	264
36	14	218	6.03	232
37	18	275	6.14	293
38	16	272	5.56	288
39	15	227	6.20	242
40	11	280	3.78	291
41	7	243	2.80	250
42	12	274	4.20	286
43	9	256	3.40	265
44	17	238	6.67	255
45	14	266	5.00	280
46	19	253	6.99	272
47	10	270	3.57	280
48	13	255	4.85	268
49	14	234	5.65	248
50	10	265	3.64	275
51	25	238	9.51	263
52	13	248	4.98	261
53	10	232	4.13	242
54	13	248	4.98	261
55	10	269	3.58	279
56	11	246	4.28	257
57	11	241	4.37	252
58	13	245	5.04	258
59	14	236	5.60	250
60	15	240	5.88	255
61	16	242	6.20	258
62	11	245	4.30	256
63	10	233	4.12	243
64	18	230	7.26	248
65	14	226	5.83	240
66	11	258	4.09	269
67	16	200	7.41	216
68	12	206	5.50	218
69	7	180	3.74	187
70	15	227	6.20	242
71	16	253	5.95	269
72	14	221	5.96	235
73	11	248	4.25	259
74	11	189	5.50	200
75	10	166	5.68	176
76	10	222	4.31	232
77	12	201	5.63	213
78	9	191	4.50	200
79	10	241	3.98	251
80	7	169	3.98	176
81	11	192	5.42	203
82	10	195	4.88	205
83	8	139	5.44	147
84	5	182	2.67	187
85	6	163	3.55	169
86	12	162	6.90	174
87	3	173	1.70	176
88	5	126	3.82	131
89	6	151	3.82	157
90	11	129	7.86	140
91	8	155	4.91	163
92	3	138	2.13	141
93	10	130	7.14	140
94	8	132	5.71	140
95	7	98	6.67	105
96	6	98	5.77	104
97	6	118	4.84	124
98	2	107	1.83	109
99	1	44	2.22	45
100	2	7	22.22	9
101	0	2	0.00	2
102	0	3	0.00	3
103	0	6	0.00	6
104	1	2	33.33	3
105	0	1	0.00	1
106	0	4	0.00	4
107	0	6	0.00	6
108	0	2	0.00	2
109	1	2	33.33	3
110	0	4	0.00	4
111	1	2	33.33	3
112	1	4	20.00	5
113	1	2	33.33	3
114	0	0		0
115	0	2	0.00	2
116	0	1	0.00	1
117	0	4	0.00	4
118	0	1	0.00	1
119	0	1	0.00	1
120	0	1	0.00	1
121	1	2	33.33	3
122	1	0	100.00	1
123	0	2	0.00	2
124	1	2	33.33	3
125	0	1	0.00	1
126	0	1	0.00	1
127	0	2	0.00	2
128	0	1	0.00	1
129	0	2	0.00	2
130	1	0	100.00	1
131	0	1	0.00	1
132	0	0		0
133	0	0		0
134	0	1	0.00	1
135	0	0		0
136	0	0		0
137	0	1	0.00	1
138	1	0	100.00	1
139	0	1	0.00	1
140	0	0		0
141	0	0		0
142	0	0		0
143	0	0		0
144	0	0		0
145	0	0		0
146	0	0		0
147	1	0	100.00	1

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	2	9	18.18	11
2	0	23	0.00	23
3	0	14	0.00	14
4	0	128	0.00	128
5	0	188	0.00	188
6	0	259	0.00	259
7	0	250	0.00	250
8	1	226	0.44	227
9	0	225	0.00	225
10	1	194	0.51	195
11	3	227	1.30	230
12	1	200	0.50	201
13	1	221	0.45	222
14	1	188	0.53	189
15	0	240	0.00	240
16	0	236	0.00	236
17	0	225	0.00	225
18	1	256	0.39	257
19	0	192	0.00	192
20	0	160	0.00	160
21	2	220	0.90	222
22	0	232	0.00	232
23	0	192	0.00	192
24	0	198	0.00	198
25	0	258	0.00	258
26	1	214	0.47	215
27	0	225	0.00	225
28	0	221	0.00	221
29	1	189	0.53	190
30	1	199	0.50	200
31	1	253	0.39	254
32	2	194	1.02	196
33	1	206	0.48	207
34	2	220	0.90	222
35	1	242	0.41	243
36	1	231	0.43	232
37	1	231	0.43	232
38	0	200	0.00	200
39	1	219	0.45	220
40	0	217	0.00	217
41	1	267	0.37	268
42	0	206	0.00	206
43	2	205	0.97	207
44	0	228	0.00	228
45	0	216	0.00	216
46	0	217	0.00	217
47	0	207	0.00	207
48	2	215	0.92	217
49	1	207	0.48	208
50	0	197	0.00	197
51	0	204	0.00	204
52	0	219	0.00	219
53	0	203	0.00	203
54	2	191	1.04	193
55	1	185	0.54	186
56	1	208	0.48	209
57	1	194	0.51	195
58	0	214	0.00	214
59	0	191	0.00	191
60	3	162	1.82	165
61	1	197	0.51	198
62	0	158	0.00	158
63	1	167	0.60	168
64	2	204	0.97	206
65	0	191	0.00	191
66	0	185	0.00	185
67	0	164	0.00	164
68	0	195	0.00	195
69	0	190	0.00	190
70	3	191	1.55	194
71	0	152	0.00	152
72	1	166	0.60	167
73	0	165	0.00	165
74	0	152	0.00	152
75	0	168	0.00	168
76	0	178	0.00	178
77	0	172	0.00	172
78	0	170	0.00	170
79	2	150	1.32	152
80	0	143	0.00	143
81	0	185	0.00	185
82	0	111	0.00	111
83	0	122	0.00	122
84	0	121	0.00	121
85	0	142	0.00	142
86	0	160	0.00	160
87	0	140	0.00	140
88	1	131	0.76	132
89	0	104	0.00	104
90	0	124	0.00	124
91	0	128	0.00	128
