CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	227	2162	9.50	2389
2	0	23	0.00	23
3	1	12	7.69	13
4	13	168	7.18	181
5	9	198	4.35	207
6	14	230	5.74	244
7	7	242	2.81	249
8	9	288	3.03	297
9	10	257	3.75	267
10	13	241	5.12	254
11	7	267	2.55	274
12	15	252	5.62	267
13	13	277	4.48	290
14	12	244	4.69	256
15	13	238	5.18	251
16	17	286	5.61	303
17	4	248	1.59	252
18	12	231	4.94	243
19	10	285	3.39	295
20	10	227	4.22	237
21	11	211	4.95	222
22	16	279	5.42	295
23	11	271	3.90	282
24	12	266	4.32	278
25	12	278	4.14	290
26	15	290	4.92	305
27	9	239	3.63	248
28	13	236	5.22	249
29	8	280	2.78	288
30	14	273	4.88	287
31	20	289	6.47	309
32	11	295	3.59	306
33	9	222	3.90	231
34	10	246	3.91	256
35	10	287	3.37	297
36	10	221	4.33	231
37	23	281	7.57	304
38	16	219	6.81	235
39	14	247	5.36	261
40	10	262	3.68	272
41	16	237	6.32	253
42	6	279	2.11	285
43	12	249	4.60	261
44	9	273	3.19	282
45	17	292	5.50	309
46	16	253	5.95	269
47	17	268	5.96	285
48	10	243	3.95	253
49	17	250	6.37	267
50	8	239	3.24	247
51	13	232	5.31	245
52	14	247	5.36	261
53	10	239	4.02	249
54	9	248	3.50	257
55	14	292	4.58	306
56	14	210	6.25	224
57	8	241	3.21	249
58	12	259	4.43	271
59	8	282	2.76	290
60	12	247	4.63	259
61	9	251	3.46	260
62	11	263	4.01	274
63	10	188	5.05	198
64	12	242	4.72	254
65	10	252	3.82	262
66	12	236	4.84	248
67	22	218	9.17	240
68	11	188	5.53	199
69	5	205	2.38	210
70	10	242	3.97	252
71	10	250	3.85	260
72	2	242	0.82	244
73	13	207	5.91	220
74	6	165	3.51	171
75	12	173	6.49	185
76	14	196	6.67	210
77	9	182	4.71	191
78	13	207	5.91	220
79	7	222	3.06	229
80	6	184	3.16	190
81	7	176	3.83	183
82	4	191	2.05	195
83	7	130	5.11	137
84	4	182	2.15	186
85	9	175	4.89	184
86	15	178	7.77	193
87	6	159	3.64	165
88	6	130	4.41	136
89	8	135	5.59	143
90	5	130	3.70	135
91	4	150	2.60	154
92	5	134	3.60	139
93	8	130	5.80	138
94	5	133	3.62	138
95	3	119	2.46	122
96	6	106	5.36	112
97	9	131	6.43	140
98	5	106	4.50	111
99	3	51	5.56	54
100	0	6	0.00	6
101	1	3	25.00	4
