CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	227	2162	9.50	2389
2	0	11	0.00	11
3	0	22	0.00	22
4	10	185	5.13	195
5	13	207	5.91	220
6	12	228	5.00	240
7	11	199	5.24	210
8	15	262	5.42	277
9	8	231	3.35	239
10	11	252	4.18	263
11	12	257	4.46	269
12	20	292	6.41	312
13	15	268	5.30	283
14	10	228	4.20	238
15	19	209	8.33	228
16	20	276	6.76	296
17	11	227	4.62	238
18	9	261	3.33	270
19	11	319	3.33	330
20	9	237	3.66	246
21	8	213	3.62	221
22	13	273	4.55	286
23	12	256	4.48	268
24	19	242	7.28	261
25	13	278	4.47	291
26	8	283	2.75	291
27	9	301	2.90	310
28	15	272	5.23	287
29	7	301	2.27	308
30	8	270	2.88	278
31	20	291	6.43	311
32	13	296	4.21	309
33	16	215	6.93	231
34	18	294	5.77	312
35	20	283	6.60	303
36	11	199	5.24	210
37	22	270	7.53	292
38	14	242	5.47	256
39	8	245	3.16	253
40	12	243	4.71	255
41	16	235	6.37	251
42	12	284	4.05	296
43	5	228	2.15	233
44	14	237	5.58	251
45	13	269	4.61	282
46	11	216	4.85	227
47	9	260	3.35	269
48	13	265	4.68	278
49	22	255	7.94	277
50	13	218	5.63	231
51	13	238	5.18	251
52	6	252	2.33	258
53	6	245	2.39	251
54	10	266	3.62	276
55	12	284	4.05	296
56	10	203	4.69	213
57	13	251	4.92	264
58	16	264	5.71	280
59	12	270	4.26	282
60	14	248	5.34	262
61	6	237	2.47	243
62	12	251	4.56	263
63	10	219	4.37	229
64	15	246	5.75	261
65	7	269	2.54	276
66	10	265	3.64	275
67	11	208	5.02	219
68	11	205	5.09	216
69	7	209	3.24	216
70	14	247	5.36	261
71	12	248	4.62	260
72	5	252	1.95	257
73	15	206	6.79	221
74	11	200	5.21	211
75	10	169	5.59	179
76	11	209	5.00	220
77	11	215	4.87	226
78	8	209	3.69	217
79	7	224	3.03	231
80	11	200	5.21	211
81	2	154	1.28	156
82	6	196	2.97	202
83	11	114	8.80	125
84	9	206	4.19	215
85	10	191	4.98	201
86	8	159	4.79	167
87	7	175	3.85	182
88	5	107	4.46	112
89	9	153	5.56	162
90	3	101	2.88	104
91	8	150	5.06	158
92	1	125	0.79	126
93	9	142	5.96	151
94	8	126	5.97	134
95	7	127	5.22	134
96	10	103	8.85	113
97	9	124	6.77	133
98	4	87	4.40	91
99	0	53	0.00	53
100	1	6	14.29	7
101	0	3	0.00	3
102	0	0		0
103	0	8	0.00	8
104	0	3	0.00	3
105	0	3	0.00	3
106	0	4	0.00	4
107	1	0	100.00	1
108	0	4	0.00	4
109	2	5	28.57	7
110	0	2	0.00	2
111	0	2	0.00	2
112	0	3	0.00	3
113	1	2	33.33	3
114	0	1	0.00	1
115	0	4	0.00	4
116	0	3	0.00	3
117	1	1	50.00	2
118	0	1	0.00	1
119	0	3	0.00	3
120	0	1	0.00	1
121	1	1	50.00	2
122	0	3	0.00	3
123	1	2	33.33	3
124	0	0		0
125	0	4	0.00	4
126	0	3	0.00	3
127	0	2	0.00	2
128	1	2	33.33	3
129	0	2	0.00	2
130	0	2	0.00	2
131	0	5	0.00	5
132	0	0		0
133	0	2	0.00	2
134	1	0	100.00	1
135	0	1	0.00	1
136	0	1	0.00	1
137	0	2	0.00	2
138	0	1	0.00	1
139	0	0		0
140	0	2	0.00	2
141	0	0		0
142	0	1	0.00	1
143	0	0		0
144	0	0		0
145	0	0		0
146	0	0		0
147	0	0		0
148	0	1	0.00	1
149	0	1	0.00	1

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	8	0.00	8
2	0	24	0.00	24
3	0	6	0.00	6
4	0	147	0.00	147
5	1	192	0.52	193
6	1	243	0.41	244
7	2	296	0.67	298
8	2	199	1.00	201
9	2	235	0.84	237
10	0	213	0.00	213
11	3	226	1.31	229
12	1	182	0.55	183
13	0	208	0.00	208
14	1	192	0.52	193
15	0	238	0.00	238
16	0	215	0.00	215
17	1	223	0.45	224
18	1	269	0.37	270
19	0	214	0.00	214
20	0	175	0.00	175
21	1	211	0.47	212
22	0	236	0.00	236
23	0	208	0.00	208
24	0	180	0.00	180
25	0	249	0.00	249
26	0	206	0.00	206
27	0	234	0.00	234
28	0	263	0.00	263
29	0	184	0.00	184
30	1	155	0.64	156
31	1	250	0.40	251
