CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	206	2165	8.69	2371
2	0	18	0.00	18
3	3	20	13.04	23
4	6	177	3.28	183
5	16	214	6.96	230
6	12	228	5.00	240
7	18	235	7.11	253
8	13	291	4.28	304
9	12	232	4.92	244
10	11	230	4.56	241
11	9	256	3.40	265
12	11	270	3.91	281
13	12	295	3.91	307
14	7	255	2.67	262
15	10	242	3.97	252
16	10	296	3.27	306
17	9	246	3.53	255
18	17	224	7.05	241
19	18	300	5.66	318
20	12	214	5.31	226
21	12	213	5.33	225
22	13	270	4.59	283
23	20	246	7.52	266
24	11	221	4.74	232
25	18	300	5.66	318
26	10	299	3.24	309
27	12	253	4.53	265
28	22	252	8.03	274
29	7	273	2.50	280
30	13	263	4.71	276
31	12	250	4.58	262
32	14	259	5.13	273
33	13	240	5.14	253
34	9	243	3.57	252
35	15	271	5.24	286
36	8	226	3.42	234
37	23	259	8.16	282
38	19	233	7.54	252
39	14	236	5.60	250
40	11	264	4.00	275
41	14	228	5.79	242
42	12	272	4.23	284
43	10	258	3.73	268
44	19	263	6.74	282
45	14	250	5.30	264
46	20	235	7.84	255
47	18	285	5.94	303
48	12	226	5.04	238
49	8	237	3.27	245
50	8	231	3.35	239
51	8	231	3.35	239
52	17	258	6.18	275
53	11	230	4.56	241
54	14	235	5.62	249
55	13	246	5.02	259
56	17	253	6.30	270
57	9	209	4.13	218
58	13	239	5.16	252
59	10	247	3.89	257
60	8	203	3.79	211
61	14	251	5.28	265
62	15	226	6.22	241
63	14	210	6.25	224
64	9	220	3.93	229
65	10	248	3.88	258
66	10	224	4.27	234
67	10	221	4.33	231
68	11	223	4.70	234
69	11	164	6.29	175
70	10	218	4.39	228
71	17	248	6.42	265
72	6	229	2.55	235
73	9	215	4.02	224
74	14	204	6.42	218
75	10	150	6.25	160
76	9	205	4.21	214
77	10	200	4.76	210
78	6	213	2.74	219
79	9	218	3.96	227
80	7	209	3.24	216
81	8	154	4.94	162
82	5	192	2.54	197
83	8	137	5.52	145
84	9	165	5.17	174
85	6	186	3.12	192
86	10	197	4.83	207
87	8	148	5.13	156
88	5	113	4.24	118
89	11	149	6.88	160
90	6	107	5.31	113
91	9	149	5.70	158
92	8	122	6.15	130
93	10	115	8.00	125
94	6	115	4.96	121
95	7	118	5.60	125
96	2	110	1.79	112
97	4	112	3.45	116
98	7	90	7.22	97
99	1	55	1.79	56
100	0	12	0.00	12
101	0	6	0.00	6
102	1	5	16.67	6
103	2	6	25.00	8
104	2	5	28.57	7
105	0	2	0.00	2
106	0	5	0.00	5
107	1	4	20.00	5
108	0	4	0.00	4
109	1	9	10.00	10
110	0	2	0.00	2
111	0	6	0.00	6
112	0	6	0.00	6
113	0	0		0
114	0	3	0.00	3
115	0	5	0.00	5
116	0	1	0.00	1
117	0	4	0.00	4
118	0	2	0.00	2
119	0	2	0.00	2
120	2	2	50.00	4
121	1	2	33.33	3
122	0	4	0.00	4
123	3	0	100.00	3
124	0	5	0.00	5
125	0	1	0.00	1
126	0	3	0.00	3
127	0	0		0
128	1	5	16.67	6
129	0	0		0
130	0	3	0.00	3
131	0	2	0.00	2
132	0	0		0
133	1	2	33.33	3
134	1	2	33.33	3
135	0	1	0.00	1
136	0	2	0.00	2
137	0	3	0.00	3
138	0	3	0.00	3
139	0	1	0.00	1
140	0	1	0.00	1
141	0	2	0.00	2
142	0	1	0.00	1
143	0	2	0.00	2
144	1	0	100.00	1
145	0	0		0
146	0	1	0.00	1
147	0	1	0.00	1
148	0	0		0
149	0	1	0.00	1

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	11	0.00	11
2	0	23	0.00	23
3	0	13	0.00	13
4	0	130	0.00	130
5	1	178	0.56	179
6	3	212	1.40	215
7	1	257	0.39	258
8	0	198	0.00	198
9	1	210	0.47	211
10	0	234	0.00	234
11	0	250	0.00	250
12	1	196	0.51	197
13	0	194	0.00	194
14	1	223	0.45	224
15	1	243	0.41	244
16	0	229	0.00	229
17	2	232	0.85	234
18	1	284	0.35	285
19	3	200	1.48	203
20	1	160	0.62	161
21	0	214	0.00	214
22	0	211	0.00	211
23	0	180	0.00	180
24	1	194	0.51	195
25	0	234	0.00	234
26	2	191	1.04	193
27	1	219	0.45	220
28	1	221	0.45	222
29	0	177	0.00	177
30	0	188	0.00	188
31	1	229	0.43	230
32	1	207	0.48	208
