CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	221	2158	9.29	2379
2	0	19	0.00	19
3	0	12	0.00	12
4	18	180	9.09	198
5	10	223	4.29	233
6	13	277	4.48	290
7	11	200	5.21	211
8	15	281	5.07	296
9	10	274	3.52	284
10	16	235	6.37	251
11	10	256	3.76	266
12	17	252	6.32	269
13	11	290	3.65	301
14	16	269	5.61	285
15	10	230	4.17	240
16	19	265	6.69	284
17	6	238	2.46	244
18	6	256	2.29	262
19	9	312	2.80	321
20	6	216	2.70	222
21	12	224	5.08	236
22	10	278	3.47	288
23	13	258	4.80	271
24	19	225	7.79	244
25	10	285	3.39	295
26	16	278	5.44	294
27	10	253	3.80	263
28	19	315	5.69	334
29	13	282	4.41	295
30	13	246	5.02	259
31	10	280	3.45	290
32	15	277	5.14	292
33	13	226	5.44	239
34	10	244	3.94	254
35	21	275	7.09	296
36	12	242	4.72	254
37	13	257	4.81	270
38	16	247	6.08	263
39	12	244	4.69	256
40	14	283	4.71	297
41	12	216	5.26	228
42	16	281	5.39	297
43	14	228	5.79	242
44	19	245	7.20	264
45	12	292	3.95	304
46	16	227	6.58	243
47	12	288	4.00	300
48	9	266	3.27	275
49	11	254	4.15	265
50	13	227	5.42	240
51	20	232	7.94	252
52	11	231	4.55	242
53	16	209	7.11	225
54	12	256	4.48	268
55	13	270	4.59	283
56	13	253	4.89	266
57	7	214	3.17	221
58	9	275	3.17	284
59	16	291	5.21	307
60	15	259	5.47	274
61	10	242	3.97	252
62	11	239	4.40	250
63	16	235	6.37	251
64	14	240	5.51	254
65	9	231	3.75	240
66	12	257	4.46	269
67	13	219	5.60	232
68	9	203	4.25	212
69	9	200	4.31	209
70	19	197	8.80	216
71	14	277	4.81	291
72	14	226	5.83	240
73	3	217	1.36	220
74	12	171	6.56	183
75	8	193	3.98	201
76	11	192	5.42	203
77	11	225	4.66	236
78	9	192	4.48	201
79	13	216	5.68	229
80	2	198	1.00	200
81	6	157	3.68	163
82	16	204	7.27	220
83	7	126	5.26	133
84	11	184	5.64	195
85	8	200	3.85	208
86	10	171	5.52	181
87	5	170	2.86	175
88	4	131	2.96	135
89	7	166	4.05	173
90	2	119	1.65	121
91	10	127	7.30	137
92	5	143	3.38	148
93	5	143	3.38	148
94	6	120	4.76	126
95	8	123	6.11	131
96	6	97	5.83	103
97	9	131	6.43	140
98	2	92	2.13	94
99	4	52	7.14	56
100	0	11	0.00	11
101	0	6	0.00	6
102	1	6	14.29	7
103	0	1	0.00	1
104	0	6	0.00	6
105	0	6	0.00	6
106	1	2	33.33	3
