CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	190	2193	7.97	2383
2	0	13	0.00	13
3	1	9	10.00	10
4	9	210	4.11	219
5	14	195	6.70	209
6	10	244	3.94	254
7	11	261	4.04	272
8	13	279	4.45	292
9	11	262	4.03	273
10	23	253	8.33	276
11	9	241	3.60	250
12	15	286	4.98	301
13	19	248	7.12	267
14	12	279	4.12	291
15	9	253	3.44	262
16	14	289	4.62	303
17	8	210	3.67	218
18	9	248	3.50	257
19	14	283	4.71	297
20	10	210	4.55	220
21	19	212	8.23	231
22	6	271	2.17	277
23	18	249	6.74	267
24	17	220	7.17	237
25	17	271	5.90	288
26	6	272	2.16	278
27	15	277	5.14	292
28	18	272	6.21	290
29	8	258	3.01	266
30	19	284	6.27	303
31	12	290	3.97	302
32	10	277	3.48	287
33	8	207	3.72	215
34	15	267	5.32	282
35	26	281	8.47	307
36	8	218	3.54	226
37	17	262	6.09	279
38	26	219	10.61	245
39	15	254	5.58	269
40	7	245	2.78	252
41	12	245	4.67	257
42	16	298	5.10	314
43	15	255	5.56	270
44	17	260	6.14	277
45	10	268	3.60	278
46	10	233	4.12	243
47	18	249	6.74	267
48	16	253	5.95	269
49	15	201	6.94	216
50	9	239	3.63	248
51	14	235	5.62	249
52	19	252	7.01	271
53	8	230	3.36	238
54	13	262	4.73	275
55	16	274	5.52	290
56	12	216	5.26	228
57	21	226	8.50	247
58	18	225	7.41	243
59	16	275	5.50	291
60	10	241	3.98	251
61	17	246	6.46	263
62	11	242	4.35	253
63	15	200	6.98	215
64	10	266	3.62	276
65	14	249	5.32	263
66	14	264	5.04	278
67	10	251	3.83	261
68	7	186	3.63	193
69	3	214	1.38	217
70	9	205	4.21	214
71	10	247	3.89	257
72	8	215	3.59	223
73	19	248	7.12	267
74	4	199	1.97	203
75	10	190	5.00	200
76	13	194	6.28	207
77	14	204	6.42	218
78	6	203	2.87	209
79	15	214	6.55	229
80	12	198	5.71	210
81	7	146	4.58	153
82	10	189	5.03	199
83	4	141	2.76	145
84	6	173	3.35	179
85	5	197	2.48	202
86	12	156	7.14	168
87	7	182	3.70	189
88	4	122	3.17	126
89	6	170	3.41	176
90	6	129	4.44	135
91	7	126	5.26	133
92	5	139	3.47	144
93	10	125	7.41	135
94	9	136	6.21	145
95	7	123	5.38	130
96	5	99	4.81	104
97	5	98	4.85	103
98	4	95	4.04	99
99	0	49	0.00	49
100	0	15	0.00	15
101	0	6	0.00	6
102	0	5	0.00	5
103	1	6	14.29	7
104	0	6	0.00	6
105	0	0		0
106	0	7	0.00	7
107	1	4	20.00	5
108	0	6	0.00	6
109	1	6	14.29	7
110	0	6	0.00	6
111	0	8	0.00	8
112	2	7	22.22	9
113	0	6	0.00	6
114	0	4	0.00	4
115	0	4	0.00	4
116	0	1	0.00	1
117	0	5	0.00	5
118	1	2	33.33	3
119	0	3	0.00	3
120	0	3	0.00	3
121	2	1	66.67	3
122	0	1	0.00	1
123	1	2	33.33	3
124	0	5	0.00	5
125	1	5	16.67	6
126	1	1	50.00	2
127	0	3	0.00	3
128	1	0	100.00	1
129	1	7	12.50	8
130	0	0		0
131	0	3	0.00	3
132	0	0		0
133	0	3	0.00	3
134	1	1	50.00	2
135	0	2	0.00	2
136	0	1	0.00	1
137	0	0		0
138	0	0		0
139	0	2	0.00	2
140	0	0		0
141	0	1	0.00	1
142	0	0		0
143	0	1	0.00	1
144	0	0		0
145	0	0		0
146	0	0		0
147	0	0		0
148	0	0		0
149	0	0		0

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	2	9	18.18	11
2	0	19	0.00	19
3	0	11	0.00	11
4	0	123	0.00	123
5	0	201	0.00	201
6	1	241	0.41	242
7	1	252	0.40	253
8	1	202	0.49	203
9	1	240	0.41	241
10	1	241	0.41	242
11	0	235	0.00	235
12	1	205	0.49	206
13	0	230	0.00	230
14	2	211	0.94	213
15	2	251	0.79	253
16	1	201	0.50	202
17	2	257	0.77	259
18	0	287	0.00	287
19	0	217	0.00	217
20	1	193	0.52	194
21	3	211	1.40	214
22	1	233	0.43	234
23	0	214	0.00	214
24	2	204	0.97	206
25	1	224	0.44	225
26	0	191	0.00	191
27	1	232	0.43	233
28	0	263	0.00	263
29	1	196	0.51	197
30	0	206	0.00	206
31	0	229	0.00	229
32	1	193	0.52	194
