CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	195	2159	8.28	2354
2	0	13	0.00	13
3	0	19	0.00	19
4	12	198	5.71	210
5	7	197	3.43	204
6	7	295	2.32	302
7	8	231	3.35	239
8	24	295	7.52	319
9	7	253	2.69	260
10	13	242	5.10	255
11	10	247	3.89	257
12	8	268	2.90	276
13	17	260	6.14	277
14	7	265	2.57	272
15	6	243	2.41	249
16	12	294	3.92	306
17	9	238	3.64	247
18	10	237	4.05	247
19	16	300	5.06	316
20	7	243	2.80	250
21	13	209	5.86	222
22	11	274	3.86	285
23	8	270	2.88	278
24	14	262	5.07	276
25	11	282	3.75	293
26	10	293	3.30	303
27	12	254	4.51	266
28	26	278	8.55	304
29	9	279	3.12	288
30	22	261	7.77	283
31	17	289	5.56	306
32	14	283	4.71	297
33	8	206	3.74	214
34	10	260	3.70	270
35	12	267	4.30	279
36	8	216	3.57	224
37	17	260	6.14	277
38	10	277	3.48	287
39	17	221	7.14	238
40	6	258	2.27	264
41	12	207	5.48	219
42	14	299	4.47	313
43	15	235	6.00	250
44	6	257	2.28	263
45	11	281	3.77	292
46	10	217	4.41	227
47	13	283	4.39	296
48	21	258	7.53	279
49	13	219	5.60	232
50	11	238	4.42	249
51	10	225	4.26	235
52	15	254	5.58	269
53	13	233	5.28	246
54	12	250	4.58	262
55	17	259	6.16	276
56	9	206	4.19	215
57	17	233	6.80	250
58	14	243	5.45	257
59	13	276	4.50	289
60	14	219	6.01	233
61	16	225	6.64	241
62	14	240	5.51	254
63	12	233	4.90	245
64	8	243	3.19	251
65	8	257	3.02	265
66	9	231	3.75	240
67	13	223	5.51	236
68	10	211	4.52	221
69	10	173	5.46	183
70	8	208	3.70	216
71	12	271	4.24	283
72	6	240	2.44	246
73	10	237	4.05	247
74	9	190	4.52	199
75	10	199	4.78	209
76	12	191	5.91	203
77	12	223	5.11	235
78	10	189	5.03	199
79	8	194	3.96	202
80	6	187	3.11	193
81	7	172	3.91	179
82	7	192	3.52	199
83	5	130	3.70	135
84	5	175	2.78	180
85	4	172	2.27	176
86	13	160	7.51	173
87	16	168	8.70	184
88	4	129	3.01	133
89	7	131	5.07	138
90	13	127	9.29	140
91	8	131	5.76	139
92	6	147	3.92	153
93	12	129	8.51	141
94	7	115	5.74	122
95	6	111	5.13	117
96	7	101	6.48	108
97	2	123	1.60	125
98	7	107	6.14	114
99	1	48	2.04	49
100	1	6	14.29	7
101	1	8	11.11	9
102	2	2	50.00	4
103	0	11	0.00	11
104	0	2	0.00	2
105	0	7	0.00	7
106	1	6	14.29	7
107	2	4	33.33	6
108	0	7	0.00	7
109	0	3	0.00	3
