CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	212	2181	8.86	2393
2	1	11	8.33	12
3	2	12	14.29	14
4	11	202	5.16	213
5	12	169	6.63	181
6	4	263	1.50	267
7	11	234	4.49	245
8	16	278	5.44	294
9	10	224	4.27	234
10	12	270	4.26	282
11	6	238	2.46	244
12	13	277	4.48	290
13	16	267	5.65	283
14	12	261	4.40	273
15	10	227	4.22	237
16	13	283	4.39	296
17	9	235	3.69	244
18	5	255	1.92	260
19	13	306	4.08	319
20	11	207	5.05	218
21	19	220	7.95	239
22	11	274	3.86	285
23	17	277	5.78	294
24	16	213	6.99	229
25	8	277	2.81	285
26	11	281	3.77	292
27	15	263	5.40	278
28	24	250	8.76	274
29	9	281	3.10	290
30	7	248	2.75	255
31	14	279	4.78	293
32	16	280	5.41	296
33	18	228	7.32	246
34	9	281	3.10	290
35	19	256	6.91	275
36	14	205	6.39	219
37	14	279	4.78	293
38	16	263	5.73	279
39	11	225	4.66	236
40	18	255	6.59	273
41	12	244	4.69	256
42	14	280	4.76	294
43	7	260	2.62	267
44	16	238	6.30	254
45	16	272	5.56	288
46	17	244	6.51	261
47	16	264	5.71	280
48	14	273	4.88	287
49	20	233	7.91	253
50	11	240	4.38	251
51	9	228	3.80	237
52	8	215	3.59	223
53	9	238	3.64	247
54	15	242	5.84	257
55	8	287	2.71	295
56	11	236	4.45	247
57	12	208	5.45	220
58	15	262	5.42	277
59	11	275	3.85	286
60	9	253	3.44	262
61	11	239	4.40	250
62	10	222	4.31	232
63	17	216	7.30	233
64	11	267	3.96	278
65	16	254	5.93	270
66	16	246	6.11	262
67	16	250	6.02	266
68	8	183	4.19	191
69	9	224	3.86	233
70	10	226	4.24	236
71	10	245	3.92	255
72	7	225	3.02	232
73	10	225	4.26	235
74	10	224	4.27	234
75	6	179	3.24	185
76	8	201	3.83	209
77	6	210	2.78	216
78	8	189	4.06	197
79	10	211	4.52	221
80	8	195	3.94	203
81	9	164	5.20	173
82	9	205	4.21	214
83	12	143	7.74	155
84	8	178	4.30	186
85	10	202	4.72	212
86	16	139	10.32	155
87	5	172	2.82	177
88	4	124	3.12	128
89	7	151	4.43	158
90	4	103	3.74	107
91	7	152	4.40	159
92	4	145	2.68	149
93	7	132	5.04	139
94	2	116	1.69	118
95	3	123	2.38	126
96	4	93	4.12	97
97	3	144	2.04	147
98	2	70	2.78	72
99	0	55	0.00	55
100	0	8	0.00	8
101	0	8	0.00	8
102	1	3	25.00	4
103	0	7	0.00	7
104	0	4	0.00	4
105	1	2	33.33	3
106	0	6	0.00	6
107	0	4	0.00	4
108	0	6	0.00	6
109	0	5	0.00	5
110	0	1	0.00	1
111	0	1	0.00	1
112	1	4	20.00	5
113	0	1	0.00	1
114	0	1	0.00	1
115	0	3	0.00	3
116	1	1	50.00	2
117	0	4	0.00	4
118	0	3	0.00	3
119	0	2	0.00	2
120	1	2	33.33	3
121	0	0		0
122	0	3	0.00	3
123	0	0		0
124	0	1	0.00	1
125	0	6	0.00	6
126	0	1	0.00	1
127	0	1	0.00	1
128	0	4	0.00	4
129	0	3	0.00	3
130	0	2	0.00	2
131	1	2	33.33	3
132	0	0		0
133	0	4	0.00	4
134	1	2	33.33	3
135	0	2	0.00	2
136	0	3	0.00	3
137	0	1	0.00	1
138	0	4	0.00	4
139	0	0		0
140	0	0		0
141	1	4	20.00	5
142	0	1	0.00	1
143	0	1	0.00	1
144	0	0		0
145	0	3	0.00	3
146	0	0		0
147	0	1	0.00	1
148	0	0		0
149	0	3	0.00	3

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	10	0.00	10
2	0	17	0.00	17
3	0	10	0.00	10
4	0	133	0.00	133
5	0	194	0.00	194
6	1	250	0.40	251
7	1	250	0.40	251
8	1	203	0.49	204
9	2	259	0.77	261
10	2	206	0.96	208
11	0	219	0.00	219
12	1	190	0.52	191
13	2	209	0.95	211
14	0	218	0.00	218
15	4	234	1.68	238
16	0	221	0.00	221
17	1	235	0.42	236
18	1	251	0.40	252
19	2	192	1.03	194
20	1	198	0.50	199
21	1	197	0.51	198
22	1	272	0.37	273
23	1	209	0.48	210
24	0	166	0.00	166
25	1	225	0.44	226
26	0	212	0.00	212
27	2	215	0.92	217
28	0	272	0.00	272
29	0	189	0.00	189
30	1	184	0.54	185
