Feature,Logistic_Regression,p_value
22_501903,0.0035,0.0
4_307221,0.0034,9.89542468708766e-10
9_1208692,0.0034,9.660246993219724e-10
9_1074877,0.0034,7.124920680434145e-10
8_389746,0.0034,1.559086736820432e-15
6_265017,0.0034,3.015523523620375e-14
9_191277,0.0034,1.709006556006535e-12
20_636413,0.0034,3.104134387951066e-12
8_389001,0.0034,3.5235437763377486e-08
4_1581713,0.0034,4.3338595483240345e-13
4_307224,0.0034,2.11662013182927e-08
5_1732331,0.0034,7.505468647930505e-10
20_639419,0.0034,3.930012414546498e-09
9_1368471,0.0034,2.5291297593907404e-13
7_1011746,0.0034,1.198177791901735e-08
21_465518,0.0034,3.524330614999259e-08
8_1439779,0.0034,1.5671284866293378e-08
5_785101,0.0034,1.1074785727626825e-12
7_1162104,0.0034,5.256184237140409e-10
X_401491,0.0034,2.9521195252654094e-09
6_103982,0.0034,8.84368454400598e-11
6_16199,0.0033,6.365672904570773e-09
8_378992,0.0033,1.7458777444945976e-14
5_1785901,0.0033,1.5554840149056366e-11
X_3733,0.0033,1.85042973481273e-10
7_1049411,0.0033,4.200683565355452e-08
5_935970,0.0033,8.323367973243494e-11
3_1474134,0.0033,4.9845118578603754e-12
4_307223,0.0033,1.2938378921726944e-10
9_1208693,0.0033,3.7764851968217693e-13
5_785100,0.0033,2.6148851308329006e-10
22_302667,0.0033,1.7566160090426708e-08
5_935707,0.0033,3.336216862896113e-08
7_1273479,0.0033,2.843347929812514e-09
5_733816,0.0033,1.3036154097699282e-11
6_456638,0.0033,2.5527684052017047e-10
6_847740,0.0033,1.3161688289614418e-12
4_901280,0.0033,6.882223660229848e-10
6_734514,0.0033,2.5895921212152194e-12
3_451460,0.0033,2.9056802619540362e-08
8_1410362,0.0033,3.003204057248562e-11
6_60022,0.0033,2.5874100260744167e-08
4_262738,0.0033,6.802355647720627e-11
5_1414924,0.0033,3.585144850308502e-13
3_1704199,0.0033,2.5083155801886606e-10
5_1599721,0.0033,5.315861338068739e-16
8_87023,0.0033,2.3474544511349106e-10
3_486562,0.0033,4.7425108082825696e-11
7_52969,0.0033,7.731642880550007e-09
5_406811,0.0033,6.734050442090456e-11
22_197239,0.0033,1.094942638797734e-12
3_1966406,0.0033,1.0055923826649998e-09
22_170857,0.0033,4.275216865180358e-12
7_1018571,0.0033,4.555475384783625e-11
8_716072,0.0033,1.0929361538141205e-09
8_226912,0.0033,8.74586210634875e-13
9_1368447,0.0033,9.548030751146166e-09
6_734513,0.0033,2.8385879396573884e-12
7_52970,0.0033,1.1370609410408863e-08
8_389740,0.0033,1.4224324919864332e-08
8_1444726,0.0033,8.896194433757615e-11
22_197234,0.0033,5.382778579406445e-13
5_1406325,0.0033,8.673216351011e-09
5_770773,0.0033,8.032857946043457e-10
5_734369,0.0033,5.043783299854198e-11
8_389745,0.0033,4.0364069141310535e-08
4_1544905,0.0033,2.7277991326373843e-10
8_249140,0.0033,1.4103228933696354e-08
7_1511154,0.0033,2.2876668280182522e-09
6_321490,0.0033,1.7393254632658946e-10
5_956211,0.0033,3.534293123240796e-14
5_616265,0.0033,1.3313620916532488e-08
4_1856390,0.0033,4.726790327902365e-08
8_538792,0.0033,2.9273596382592333e-08
9_885355,0.0033,1.126675439670335e-08
8_669617,0.0033,1.1683912830548506e-09
21_444555,0.0032,9.883335031730517e-11
6_508506,0.0032,1.177857671722397e-11
6_456636,0.0032,1.7958446548936073e-11
6_108871,0.0032,1.2121900792365953e-09
21_342027,0.0032,8.307945339957004e-09
6_415610,0.0032,2.3926676091196784e-08
6_50862,0.0032,8.23327167840196e-11
3_1704196,0.0032,2.0662667542941517e-09
3_486566,0.0032,6.809363069542185e-09
3_1473849,0.0032,9.994280537361601e-09
6_13136,0.0032,7.057028405469087e-17
5_770774,0.0032,5.98252172784191e-09
8_529403,0.0032,1.393094923635081e-08
7_352577,0.0032,4.342459173903933e-12
7_271859,0.0032,1.2214056867486704e-08
7_1307342,0.0032,1.422104632889204e-09
4_744451,0.0032,3.524194113931416e-10
9_1074881,0.0032,4.981816098266332e-08
8_1435778,0.0032,1.581994081339561e-08
6_1591696,0.0032,5.4088806635836166e-09
9_1074882,0.0032,5.211278551561204e-09
5_1591054,0.0032,1.7541938713461906e-08
5_1591050,0.0032,1.0063301884344633e-08
9_1074878,0.0032,2.8069962633149594e-12
5_734367,0.0032,2.7865143523206145e-12
3_1580945,0.0032,2.5212641097844375e-09
3_374530,0.0032,9.597419529321287e-09
7_422281,0.0032,8.867143031017677e-10
6_181224,0.0032,6.668902179222478e-13
22_197243,0.0032,9.487796305350709e-09
22_364100,0.0032,1.5702727938137297e-08
8_700725,0.0032,1.8308021603845764e-10
6_1167651,0.0032,3.115739504034738e-08
20_636416,0.0032,6.964181092367032e-09
22_499257,0.0032,1.4820415946989867e-09
7_1511152,0.0032,1.518554607696858e-08
3_273695,0.0032,3.991850576546884e-09
8_669616,0.0032,7.178278551664893e-11
5_734195,0.0032,3.92469298639586e-09
5_694152,0.0032,2.107510094993689e-09
8_1444727,0.0032,1.339522092970738e-08
6_508505,0.0032,5.0140793476710245e-12
8_87974,0.0032,1.8324133198481517e-08
8_1443332,0.0032,1.869055125966399e-08
6_415481,0.0032,1.1643490738407044e-11
7_396097,0.0032,4.3555712589400947e-10
6_456634,0.0032,1.210710551271129e-08
5_1354902,0.0032,2.745311133840753e-09
7_1297788,0.0032,3.252375414929129e-11
6_70514,0.0032,9.13577079183879e-10
6_432851,0.0032,3.148803215201382e-08
6_442762,0.0032,2.3648032906269367e-08
6_847737,0.0031,1.7281955671285387e-09
7_1162107,0.0031,9.287183135597792e-10
8_7376,0.0031,5.4464175509737905e-09
5_1354907,0.0031,7.540477858342191e-11
5_935959,0.0031,3.436470429845418e-08
22_440690,0.0031,9.40309792807731e-09
5_15944,0.0031,5.178943293723404e-11
7_1307341,0.0031,5.597395560561072e-10
3_877928,0.0031,4.1690044412588443e-10
5_1414918,0.0031,2.637758129643335e-10
20_639416,0.0031,8.908167468279106e-09
9_1017378,0.0031,9.938227686075383e-09
22_290739,0.0031,1.665910814533734e-09
4_307220,0.0031,7.776168131433206e-09
5_731201,0.0031,4.2526011706423685e-08
8_972776,0.0031,4.563111826922003e-08
6_847742,0.0031,8.352279033813865e-11
6_13127,0.0031,1.6078245617478533e-11
3_877927,0.0031,1.5946347795373028e-09
7_191453,0.0031,6.624208480388872e-09
X_400902,0.0031,8.640863483837604e-11
21_265731,0.0031,1.175180448584912e-08
5_1134875,0.0031,6.92274663229884e-09
5_1414315,0.0031,1.1141434965697023e-08
6_104192,0.0031,9.261425158189809e-10
6_1081170,0.0031,6.554621778650376e-11
7_500932,0.0031,2.4490889951638247e-11
8_1014940,0.0031,6.393197787696243e-11
7_19202,0.0031,3.1909762406866694e-10
3_1431213,0.0031,2.9599118967113765e-10
22_387518,0.0031,4.454346423281774e-09
3_524954,0.0031,1.91421154548066e-08
22_387517,0.0031,3.816594976379768e-09
3_502764,0.0031,1.4497817075790583e-09
5_805703,0.0031,4.569551075783774e-09
4_1544906,0.0031,7.427349766050249e-09
6_1076350,0.0031,4.255393864625746e-13
5_805702,0.0031,3.3371065467216253e-10
9_1017377,0.0031,1.1644135387383713e-09
5_1713092,0.0031,1.0704172813549177e-08
5_327121,0.0031,1.108793570346067e-08
9_46628,0.0031,5.002114625723182e-08
7_993743,0.0031,3.671419618207646e-14
8_45664,-0.0031,0.0
21_417259,0.0031,2.5167552507927067e-11
21_450185,0.0031,3.098882215705468e-08
3_1816953,0.0031,5.076730981802365e-12
8_564459,0.0031,7.382558288805805e-09
20_638322,0.0031,5.157814388738677e-11
4_1544903,0.0031,2.280606183926894e-10
20_633982,-0.003,2.66265094720373e-10
9_1266996,-0.003,4.389014214441587e-11
8_643694,0.003,3.1716917606625843e-09
9_896650,-0.003,2.4841065292796284e-11
9_1240160,0.003,5.055982490085485e-10
9_1366923,-0.003,1.3949597231074247e-08
6_1049415,0.003,2.9478014894807967e-08
3_1295940,0.003,2.6282011877193124e-08
6_1698879,-0.003,1.0249333503065887e-08
3_1846878,0.003,6.291017425710182e-09
3_1234482,0.003,1.0806403871519305e-11
7_1039895,0.003,9.050694846845704e-10
8_552058,-0.003,2.7694969165680743e-10
9_1374363,-0.003,1.775393157802368e-08
8_483972,0.003,7.182761911434881e-09
6_376490,0.003,5.3915437821533596e-08
7_715756,-0.003,1.068246166170893e-09
4_61505,-0.003,4.50041867387285e-08
7_970073,0.003,2.3437179358707026e-09
8_226902,0.003,1.1410961075304698e-08
9_1093192,0.003,4.9089771724464075e-09
3_75787,-0.003,2.3526608832398495e-09
21_448174,0.003,2.6599973198486135e-08
4_785518,0.003,2.084089596983068e-09
9_1377868,-0.003,2.3782244736672853e-09
22_419578,0.003,3.081258772272617e-08
6_442763,0.003,4.658622642560981e-11
3_133901,-0.003,2.094199745018265e-09
5_956210,0.003,5.4913626685110573e-08
7_1301806,-0.003,3.399585405982883e-09
X_10601,-0.003,1.1990748995066027e-09
5_1781111,-0.003,1.0322139451916189e-08
8_564456,0.003,2.7735710777930575e-09
21_422963,-0.003,1.8924201303911995e-12
9_1348727,-0.003,8.332980678852937e-12
9_896651,-0.003,2.9684679101944467e-10
5_48792,-0.003,4.0534865639035286e-14
8_16388,-0.003,1.2353070699915457e-09
4_407500,0.003,1.1060000402009997e-10
8_1440510,0.003,7.77429017792476e-09
8_700698,0.003,1.15831873216618e-09
7_718111,-0.003,1.9161168993760453e-13
8_1444731,0.003,1.0398989413230174e-09
4_86996,-0.003,2.3603358028469762e-09
3_137933,-0.003,5.3643539744070874e-08
5_10669,-0.003,1.0706251247691597e-09
8_1231568,0.003,1.9234310279965666e-08
4_3821,-0.003,1.6259950517728314e-10
22_487019,-0.003,6.642884588169806e-09
8_803012,-0.003,4.150174425099267e-10
7_65035,0.003,1.2639623873244142e-08
X_1334795,-0.003,1.793031310415376e-11
3_1816954,0.003,1.2535961284867295e-08
7_1511150,0.003,1.9126725803105697e-10
7_54185,0.003,4.176317243823423e-08
5_1354918,0.003,5.861487315162186e-09
8_9434,-0.003,1.625432273412128e-08
7_1561082,-0.003,1.8351292166266308e-08
5_1134878,0.003,4.699867112067265e-13
22_495846,-0.003,4.0193633272099444e-10
5_1557287,0.003,5.406368323019827e-10
6_1104766,0.003,6.529105516392335e-10
8_1381523,-0.003,4.493988857723372e-12
6_353184,-0.003,1.8773321475818464e-08
6_361313,0.003,4.753056820467417e-08
6_1700233,0.003,3.872449654390534e-12
7_626002,-0.003,1.1435708602936427e-11
22_380827,0.003,1.4138713615963317e-09
3_65038,-0.003,1.3658732093770333e-08
9_1277546,-0.003,2.8303331814851295e-08
7_42059,-0.003,1.3519909447893336e-08
8_378991,0.003,1.341896557837514e-08
5_936026,0.003,1.322893252606612e-09
7_1162103,0.003,1.4212984282651258e-08
6_999939,0.003,1.7666207636264923e-11
22_474653,-0.003,1.2305818079776312e-08
5_456962,0.003,7.810499148447331e-10
9_1381207,-0.003,8.580399109675644e-10
9_1361811,-0.0029,4.990058503262108e-09
9_930587,0.0029,2.0362987939661176e-08
9_1334297,0.0029,4.034388327391005e-08
6_47756,0.0029,7.273759476535784e-12
5_1414314,0.0029,3.540298853080971e-11
6_1700945,-0.0029,2.4701724899942895e-11
7_7128,0.0029,2.1057710507657715e-08
X_12073,-0.0029,1.2624121042294583e-10
9_1359966,-0.0029,8.970129038224785e-09
4_484834,0.0029,4.422602220439312e-08
22_448152,-0.0029,1.0804889357116483e-11
9_1267749,-0.0029,5.6913234641960616e-08
6_1369237,0.0029,1.044813748446199e-08
7_1584146,-0.0029,6.620284866070684e-09
4_793255,-0.0029,1.361933182976113e-11
22_228196,-0.0029,1.5363124765976616e-08
7_49403,-0.0029,5.111488123788545e-09
8_378993,0.0029,5.397322959305569e-08
7_1585068,-0.0029,8.531520069016777e-10
22_499498,-0.0029,2.7166500882266913e-12
4_1544904,0.0029,1.0652484683045261e-08
7_39639,-0.0029,7.041286241744279e-09
9_419628,-0.0029,1.029899645117874e-09
22_494618,-0.0029,1.0779369122181067e-10
22_505441,0.0029,7.442297115072587e-10
6_1685276,-0.0029,1.2368432308395586e-11
9_390550,-0.0029,1.9125897160624223e-08
6_318156,0.0029,1.0017305494315917e-08
7_38525,-0.0029,4.524013202756793e-10
3_328187,0.0029,1.7888308472300397e-08
8_260399,0.0029,3.075562276894479e-08
7_1554339,-0.0029,1.0671557467971579e-10
7_191125,0.0029,1.2888787794560323e-09
7_33014,0.0029,1.0582314458073298e-09
7_674936,-0.0029,2.0280540975574125e-08
5_779577,0.0029,2.7400289504384575e-08
22_166016,0.0029,2.092708524668216e-10
5_1335700,-0.0029,1.522753875412338e-10
21_449038,-0.0029,2.6929137424701744e-08
8_249138,0.0029,1.5726980578411995e-08
9_978545,0.0029,8.521478774341401e-10
3_717119,-0.0029,2.0591742876110156e-08
5_21698,-0.0029,5.800604773650084e-08
3_223727,0.0029,1.185017539290476e-10
8_907917,0.0029,1.2212953956703546e-09
8_907916,0.0029,1.8928418003677562e-11
6_1683090,-0.0029,2.6835760912424254e-09
20_628277,-0.0029,1.037411203581656e-09
5_558219,0.0029,5.8260155475948144e-08
4_5753,0.0029,2.0481852664689165e-10
8_14568,-0.0029,9.244577224281434e-11
6_16139,0.0029,2.870294306948678e-08
6_1668426,-0.0029,1.8572258256283367e-11
4_135472,0.0029,4.623604153714915e-08
7_27349,0.0029,1.768499074841719e-08
22_496318,-0.0029,4.760767580139927e-11
6_1672848,-0.0029,4.9919810554421444e-08
7_6046,0.0029,3.9030581008668245e-11
9_1222193,0.0029,3.5773863340728448e-09
4_482698,0.0029,1.922967424750311e-08
7_644996,-0.0029,1.6943071802974344e-10
6_508504,0.0029,1.9068555669699212e-08
6_1675466,-0.0029,9.783706705751658e-11
X_1177691,-0.0029,9.977141693910452e-10
8_16144,-0.0029,3.5520053873368465e-09
5_5467,-0.0029,7.257854675634651e-11
5_733824,0.0029,9.931714820854211e-10
9_64125,0.0029,2.446222657728632e-09
7_702805,-0.0029,1.3707704891138291e-09
9_1277551,-0.0029,3.773170101081768e-08
X_1535368,-0.0029,4.5099454209359865e-10
22_444483,-0.0029,9.219494976183923e-10
9_1277543,-0.0029,4.395396630470381e-11
7_1585381,-0.0029,5.3697102315436764e-08
7_1387680,-0.0029,1.4695129765900245e-10
8_1099745,0.0029,7.22431046245787e-11
22_485632,-0.0029,3.3694152535794497e-12
22_174189,-0.0028,1.9980619095892418e-08
22_485118,-0.0028,1.5871906356265642e-08
7_1584688,-0.0028,2.4301662148579465e-09
5_1782680,-0.0028,2.4408180244814427e-10
5_126621,-0.0028,2.707379772146004e-09
6_1683721,-0.0028,9.25406543776982e-09
5_7599,-0.0028,7.80963973939104e-11
22_495842,-0.0028,2.9554823310355466e-09
5_1789919,-0.0028,2.7847696131937073e-09
3_1949557,-0.0028,4.723027964988288e-09
3_1580944,0.0028,7.172600264827201e-09
22_465369,0.0028,2.046424773930103e-09
7_1012976,-0.0028,7.45650954434303e-09
7_5694,-0.0028,3.3403308139454185e-08
8_5016,-0.0028,1.14749454319847e-09
9_1368461,0.0028,1.2738885595875998e-11
8_754041,0.0028,3.4455701961634257e-08
6_127497,0.0028,1.905798478546316e-09
7_29288,-0.0028,1.2925185372353387e-08
7_3462,-0.0028,5.156195436152641e-09
5_1801955,-0.0028,1.6241101191373703e-08
4_1735167,0.0028,5.723842376700738e-08
3_1221844,0.0028,5.321809199743632e-09
3_968142,0.0028,1.0076889777582397e-09
3_109014,-0.0028,5.724852284435247e-09
6_265221,0.0028,3.667410481013421e-10
22_493017,-0.0028,1.2307936513398799e-08
9_1380571,-0.0028,1.9794591217007263e-12
4_60359,-0.0028,1.9298948961547373e-09
9_1372932,-0.0028,1.3475419075135895e-09
